S0,K,T,r,sigma,M,N,method,price,delta,gamma,vega,vanna,volga,delta_analytical,gamma_analytical,vega_analytical,vanna_analytical,volga_analytical,delta_error_pct,gamma_error_pct,vega_error_pct,vanna_error_pct,volga_error_pct,time_ms,n_pde_solves,graph_nodes,graph_edges,graph_max_fan_in
95,100.0,1.0,0.05,0.3,51,50,Bumping,11.217381303233468,0.6157726430044904,0.011954497058873277,36.22873322137474,-0.27808114475569856,-52.180948559854556,0.5579165546642979,0.01385020471536354,37.49942926684678,0.2030376746684524,-2.8101341604072707,10.370025383994012,13.687217593162519,3.388574360504906,236.96036718790606,1756.8846034130984,146.07336116023362,5,0,0,0
95,100.0,1.0,0.05,0.3,51,50,AAD+Bumping,11.236943280387692,0.5540375736446463,0.013438927021702796,36.21991142345925,0.04745167539086381,-51.07125724084405,0.5579165546642979,0.01385020471536354,37.49942926684678,0.2030376746684524,-2.8101341604072707,0.695261860796651,2.969470142232116,3.4120995129884593,76.62912783632429,1717.3956944974589,3284.522924106568,5,33630,67066,2
95,100.0,1.0,0.05,0.3,51,50,Double-AAD,11.236943280387692,0.5540375736446463,0.013438927021745565,36.21991142345925,0.0488323207046788,-50.8246213853977,0.5579165546642979,0.01385020471536354,37.49942926684678,0.2030376746684524,-2.8101341604072707,0.695261860796651,2.9694701419233147,3.4120995129884593,75.94913319194634,1708.6190368232,52654.87912297249,3,33630,67066,2
95,100.0,1.0,0.05,0.3,51,50,Edge-Pushing,11.236943280387692,0.5540375736446463,0.013438927021745565,36.21991142345925,0.0488323207046788,-50.8246213853977,0.5579165546642979,0.01385020471536354,37.49942926684678,0.2030376746684524,-2.8101341604072707,0.695261860796651,2.9694701419233147,3.4120995129884593,75.94913319194634,1708.6190368232,53013.00870813429,1,33630,67066,2
100,100.0,0.5,0.05,0.15,51,50,Analytical,5.527115118656425,0.6136080145575221,0.03607702034739108,27.057765260543313,-0.46599484615380143,9.514061442306781,0.6136080145575221,0.03607702034739108,27.057765260543313,-0.46599484615380143,9.514061442306781,0.0,0.0,0.0,0.0,0.0,0.5110867787152529,0,0,0,0
100,100.0,0.5,0.05,0.15,51,50,Bumping,5.350445476458328,0.6073362811376795,0.038120529807926185,28.54327564530399,-0.3690184291528731,-17.833916110490122,0.6136080145575221,0.03607702034739108,27.057765260543313,-0.46599484615380143,9.514061442306781,1.022107480842678,5.664296665461395,5.490144402009819,20.81062007473819,287.4479812710365,32.05911791883409,5,0,0,0
100,100.0,0.5,0.05,0.15,51,50,AAD+Bumping,5.499622506490185,0.6116763756499268,0.037065573910510796,27.376318568108978,-0.3898232280936831,3.778188964462359,0.6136080145575221,0.03607702034739108,27.057765260543313,-0.46599484615380143,9.514061442306781,0.31480014305031706,2.7401197593392745,1.1773082680637779,16.346021568439824,60.288369090600504,3307.1297630667686,5,33630,67066,2
100,100.0,0.5,0.05,0.15,51,50,Double-AAD,5.499622506490185,0.6116763756499268,0.03706557391048362,27.376318568108978,-0.38972554047002234,3.701759168188636,0.6136080145575221,0.03607702034739108,27.057765260543313,-0.46599484615380143,9.514061442306781,0.31480014305031706,2.740119759263937,1.1773082680637779,16.36698480965741,61.09170420397132,45469.518339959905,3,33630,67066,2
100,100.0,0.5,0.05,0.15,51,50,Edge-Pushing,5.499622506490185,0.6116763756499268,0.03706557391048362,27.376318568108978,-0.38972554047002234,3.701759168188636,0.6136080145575221,0.03607702034739108,27.057765260543313,-0.46599484615380143,9.514061442306781,0.31480014305031706,2.740119759263937,1.1773082680637779,16.36698480965741,61.09170420397132,45731.93301493302,1,33630,67066,2
100,100.0,0.5,0.05,0.2,51,50,Analytical,6.888728577680624,0.5977344689084383,0.027358658565220986,27.35865856522099,-0.2051899392391573,3.5908239366852532,0.5977344689084383,0.027358658565220986,27.35865856522099,-0.2051899392391573,3.5908239366852532,0.0,0.0,0.0,0.0,0.0,0.4783058539032936,0,0,0,0
100,100.0,0.5,0.05,0.2,51,50,Bumping,6.762928924902795,0.5943505419741458,0.028096896163165568,28.068609327828618,-0.17267644512012348,-4.788473752137534,0.5977344689084383,0.027358658565220986,27.35865856522099,-0.2051899392391573,3.5908239366852532,0.5661254470521111,2.6983691330650554,2.5949765077668565,15.845559601798021,233.35306427075486,34.02754990383983,5,0,0,0
100,100.0,0.5,0.05,0.2,51,50,AAD+Bumping,6.871867852553818,0.5975823070069481,0.027722058610613054,27.496926914209617,-0.19082950745579197,1.5802110066374553,0.5977344689084383,0.027358658565220986,27.35865856522099,-0.2051899392391573,3.5908239366852532,0.02545643749941626,1.3282816645624274,0.5053915514863674,6.998604237914244,55.99308029298219,2908.4969649557024,5,33630,67066,2
